timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2025-06-29T09:47:37,iris_classifier,5b6f0e0d-c57f-4115-83c8-b6d892991469,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,6.862869199999977,1.8054392986029493e-07,2.630735405248516e-08,30.0,0.0,10.0,5.700269416666591e-05,0.0,1.894485500000024e-05,7.594754916666614e-05,Canada,CAN,quebec,,,Windows-10-10.0.26100-SP0,3.11.0rc2,3.0.2,4,AMD Ryzen 3 3250U with Radeon Graphics,,,-71.2,46.8,5.921531677246094,machine,N,1.0
2025-06-29T09:48:44,iris_classifier,648a258c-bc06-4799-a7a5-cd3a8d4559b9,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,6.220868799999835,1.41702465658025e-05,2.2778565215525645e-06,30.0,0.0,10.0,5.179657083333305e-05,0.0,1.7235950277777573e-05,6.903252111111063e-05,United States,USA,california,,,Windows-10-10.0.26100-SP0,3.11.0rc2,3.0.2,4,AMD Ryzen 3 3250U with Radeon Graphics,,,-122.3367,40.5482,5.921531677246094,machine,N,1.0
2025-06-29T09:51:32,iris_classifier,c793a0fa-9a7d-47f3-8021-3a76f68fad36,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,11.759843900000078,2.675186492973738e-05,2.274848642313798e-06,30.0,0.0,10.0,9.779505750000036e-05,0.0,3.2530739722222456e-05,0.0001303257972222,United States,USA,california,,,Windows-10-10.0.26100-SP0,3.11.0rc2,3.0.2,4,AMD Ryzen 3 3250U with Radeon Graphics,,,-122.3367,40.5482,5.921531677246094,machine,N,1.0
2025-06-29T10:00:37,iris_classifier,dcefcd96-e156-48d1-9121-17c57c6b43bd,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,7.901254800000061,1.7989680133292855e-05,2.2768130618054134e-06,30.0,0.0,10.0,6.574978166666673e-05,0.0,2.1889693611111248e-05,8.763947527777798e-05,United States,USA,california,,,Windows-10-10.0.26100-SP0,3.11.0rc2,3.0.2,4,AMD Ryzen 3 3250U with Radeon Graphics,,,-122.3367,40.5482,5.921531677246094,machine,N,1.0
2025-06-29T10:01:39,iris_classifier,d6dab1af-9ffc-49a7-ae00-3eb354cf6f84,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,5.703047399999832,1.297875451686216e-05,2.275757784664834e-06,30.0,0.0,10.0,4.744033333333277e-05,0.0,1.5787652222221974e-05,6.322798555555474e-05,United States,USA,california,,,Windows-10-10.0.26100-SP0,3.11.0rc2,3.0.2,4,AMD Ryzen 3 3250U with Radeon Graphics,,,-122.3367,40.5482,5.921531677246094,machine,N,1.0
2025-06-29T10:33:15,iris_classifier,349d944c-a16f-4e71-93d9-c38bb8d19d45,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,5.312542199999825,1.2097017826713495e-05,2.277067620604293e-06,30.0,0.0,10.0,4.4223359166664976e-05,0.0,1.470911138888798e-05,5.893247055555296e-05,United States,USA,california,,,Windows-10-10.0.26100-SP0,3.11.0rc2,3.0.2,4,AMD Ryzen 3 3250U with Radeon Graphics,,,-122.3367,40.5482,5.921531677246094,machine,N,1.0
2025-06-29T10:34:14,iris_classifier,18fbff12-5620-41db-a65e-70506ee308e3,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,6.836826000000201,1.5576060869986865e-05,2.278259073726084e-06,30.0,0.0,10.0,5.693399500000093e-05,0.0,1.894716527777847e-05,7.58811602777794e-05,United States,USA,california,,,Windows-10-10.0.26100-SP0,3.11.0rc2,3.0.2,4,AMD Ryzen 3 3250U with Radeon Graphics,,,-122.3367,40.5482,5.921531677246094,machine,N,1.0
2025-06-29T10:35:26,iris_classifier,59c77721-ae2e-4043-a0ba-8ab6f79a8cb6,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,7.96039540000038,1.8139577241988902e-05,2.2787281699584973e-06,30.0,0.0,10.0,6.629489000000223e-05,0.0,2.207483194444472e-05,8.836972194444695e-05,United States,USA,california,,,Windows-10-10.0.26100-SP0,3.11.0rc2,3.0.2,4,AMD Ryzen 3 3250U with Radeon Graphics,,,-122.3367,40.5482,5.921531677246094,machine,N,1.0
2025-06-29T10:36:42,iris_classifier,af33a2a0-85e7-4654-b458-27d6b5bcb635,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,3.379118699999708,7.68747327191019e-06,2.274993557317432e-06,30.0,0.0,10.0,2.810520833333309e-05,0.0,9.345492222221056e-06,3.745070055555415e-05,United States,USA,california,,,Windows-10-10.0.26100-SP0,3.11.0rc2,3.0.2,4,AMD Ryzen 3 3250U with Radeon Graphics,,,-122.3367,40.5482,5.921531677246094,machine,N,1.0
2025-06-29T10:51:18,iris_classifier,c6ab8535-318f-4c19-a31f-0fd334ff7cbe,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,4.020562400000017,9.150158818117136e-06,2.275840518758544e-06,30.0,0.0,10.0,3.3453420000000734e-05,0.0,1.1122976666666142e-05,4.457639666666688e-05,United States,USA,california,,,Windows-10-10.0.26100-SP0,3.11.0rc2,3.0.2,4,AMD Ryzen 3 3250U with Radeon Graphics,,,-122.3367,40.5482,5.921531677246094,machine,N,1.0
2025-06-29T15:45:55,iris_classifier,875540e2-08d1-4209-ba03-c2d3f2a9f8ca,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,8.131459199998062,2.1413305926552533e-07,2.6333903177621103e-08,30.0,0.0,10.0,6.760179249998448e-05,0.0,2.247534861110884e-05,9.007714111109332e-05,Canada,CAN,quebec,,,Windows-10-10.0.26100-SP0,3.11.0rc2,3.0.2,4,AMD Ryzen 3 3250U with Radeon Graphics,,,-71.2,46.8,5.921531677246094,machine,N,1.0
2025-06-29T15:47:54,iris_classifier,61a51286-2903-450a-8afd-e91759d8754a,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,13.384488299998338,3.050304656362865e-05,2.2789848875756004e-06,30.0,0.0,10.0,0.0001114846016666,0.0,3.711565000000216e-05,0.0001486002516666,United States,USA,california,,,Windows-10-10.0.26100-SP0,3.11.0rc2,3.0.2,4,AMD Ryzen 3 3250U with Radeon Graphics,,,-122.3367,40.5482,5.921531677246094,machine,N,1.0
2025-06-29T15:51:23,iris_classifier,dda86570-5a68-4165-8fda-08753b7b831c,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,44.722406999997474,0.0001018931103273,2.2783458485881417e-06,30.0,0.0,10.0,0.0003724416649999,0.0,0.0001239461894444,0.0004963878544444,United States,USA,california,,,Windows-10-10.0.26100-SP0,3.11.0rc2,3.0.2,4,AMD Ryzen 3 3250U with Radeon Graphics,,,-122.3367,40.5482,5.921531677246094,machine,N,1.0
2025-06-29T15:54:51,iris_classifier,65867213-7462-4762-b24f-e504ed9ac83f,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,11.866919300002335,2.703648770464237e-05,2.278307201822553e-06,30.0,0.0,10.0,9.881042749999928e-05,0.0,3.290195305555446e-05,0.0001317123805555,United States,USA,california,,,Windows-10-10.0.26100-SP0,3.11.0rc2,3.0.2,4,AMD Ryzen 3 3250U with Radeon Graphics,,,-122.3367,40.5482,5.921531677246094,machine,N,1.0
2025-06-29T15:55:27,iris_classifier,7fa314b9-e433-4dc8-b24d-9180758a8a2b,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,16.05169659999956,3.655714410051153e-05,2.277462938124094e-06,30.0,0.0,10.0,0.0001336565775,0.0,4.443713527778326e-05,0.0001780937127777,United States,USA,california,,,Windows-10-10.0.26100-SP0,3.11.0rc2,3.0.2,4,AMD Ryzen 3 3250U with Radeon Graphics,,,-122.3367,40.5482,5.921531677246094,machine,N,1.0
2025-06-29T15:56:09,iris_classifier,343127da-8746-4128-8d72-ac81e7f6328e,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,16.85076630000185,3.837053112517088e-05,2.277079299661681e-06,30.0,0.0,10.0,0.0001402936883333,0.0,4.663421638888394e-05,0.0001869279047222,United States,USA,california,,,Windows-10-10.0.26100-SP0,3.11.0rc2,3.0.2,4,AMD Ryzen 3 3250U with Radeon Graphics,,,-122.3367,40.5482,5.921531677246094,machine,N,1.0
2025-06-29T15:57:08,iris_classifier,b4ccd76f-b780-4f20-b29a-7068c597155b,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,10.65143309999985,2.4245801737782235e-05,2.2762947962169127e-06,30.0,0.0,10.0,8.86300816666638e-05,0.0,2.948704583333084e-05,0.0001181171274999,United States,USA,california,,,Windows-10-10.0.26100-SP0,3.11.0rc2,3.0.2,4,AMD Ryzen 3 3250U with Radeon Graphics,,,-122.3367,40.5482,5.921531677246094,machine,N,1.0
2025-06-29T15:57:38,iris_classifier,03d1a917-21e8-4956-ad9c-aa4f3a440f5a,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,9.111346199999389,2.0751153849031545e-05,2.2775069011243298e-06,30.0,0.0,10.0,7.585503249999115e-05,0.0,2.523738388888685e-05,0.0001010924163888,United States,USA,california,,,Windows-10-10.0.26100-SP0,3.11.0rc2,3.0.2,4,AMD Ryzen 3 3250U with Radeon Graphics,,,-122.3367,40.5482,5.921531677246094,machine,N,1.0
2025-06-29T15:58:18,iris_classifier,90ff9d57-6315-411e-84ca-723632a9c73d,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,8.003617100002884,1.8222482826659743e-05,2.2767809352915165e-06,30.0,0.0,10.0,6.661711666668756e-05,0.0,2.2156492500006505e-05,8.877360916669406e-05,United States,USA,california,,,Windows-10-10.0.26100-SP0,3.11.0rc2,3.0.2,4,AMD Ryzen 3 3250U with Radeon Graphics,,,-122.3367,40.5482,5.921531677246094,machine,N,1.0
2025-06-29T15:59:11,iris_classifier,eeffd7a7-917f-4027-81aa-32949a4d1f8f,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,8.931935099997645,2.034851420225513e-05,2.2781753309269456e-06,30.0,0.0,10.0,7.438782666664945e-05,0.0,2.474306916666238e-05,9.913089583331182e-05,United States,USA,california,,,Windows-10-10.0.26100-SP0,3.11.0rc2,3.0.2,4,AMD Ryzen 3 3250U with Radeon Graphics,,,-122.3367,40.5482,5.921531677246094,machine,N,1.0
2025-06-29T16:01:12,iris_classifier,12b3a13b-67a3-40e0-b6aa-f556aa66b2d5,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,10.306814499999746,2.3459649480157782e-05,2.2761299798456994e-06,30.0,0.0,10.0,8.57600399999986e-05,0.0,2.852722666666523e-05,0.0001142872666666,United States,USA,california,,,Windows-10-10.0.26100-SP0,3.11.0rc2,3.0.2,4,AMD Ryzen 3 3250U with Radeon Graphics,,,-122.3367,40.5482,5.921531677246094,machine,N,1.0
2025-06-29T16:14:45,iris_classifier,ac305b52-d88b-48ce-9a4e-a9cc13a08496,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,30.364556500000617,6.907681757695068e-05,2.274916071207866e-06,30.0,0.0,10.0,0.0002525937916666,0.0,8.392447888888153e-05,0.0003365182705555,United States,USA,california,,,Windows-10-10.0.26100-SP0,3.11.0rc2,3.0.2,4,AMD Ryzen 3 3250U with Radeon Graphics,,,-122.3367,40.5482,5.921531677246094,machine,N,1.0
2025-06-29T16:17:08,iris_classifier,2222ed10-a4b0-448b-9d8f-db83f622bd97,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,28.35818289999952,6.45870930125966e-05,2.277546951451452e-06,30.0,0.0,10.0,0.0002360684291666,0.0,7.857746222222583e-05,0.0003146458913888,United States,USA,california,,,Windows-10-10.0.26100-SP0,3.11.0rc2,3.0.2,4,AMD Ryzen 3 3250U with Radeon Graphics,,,-122.3367,40.5482,5.921531677246094,machine,N,1.0
2025-06-29T16:22:56,iris_classifier,67bfefd6-ffd1-4d04-90fa-d151f0c1ac50,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,10.289376900000207,2.713688487237076e-07,2.637369117304879e-08,30.0,0.0,10.0,8.56592316666744e-05,0.0,2.8494697500001267e-05,0.00011415392916667566,Canada,CAN,quebec,,,Windows-10-10.0.26100-SP0,3.11.0rc2,3.0.2,4,AMD Ryzen 3 3250U with Radeon Graphics,,,-71.2,46.8,5.921531677246094,machine,N,1.0
